CA High School,Calculation1,City,County,Measure Names,Measure Values
AGOURA HIGH SCHOOL,AGOURA HIGH SCHOOL050003,Agoura Hills,Los Angeles,Enrl GPA,3.898723404
AGOURA HIGH SCHOOL,AGOURA HIGH SCHOOL050003,Agoura Hills,Los Angeles,Adm GPA,3.889
AGOURA HIGH SCHOOL,AGOURA HIGH SCHOOL050003,Agoura Hills,Los Angeles,App GPA,3.741823529
AL ARQAM COLL PREPARATORY SCH,AL ARQAM COLL PREPARATORY SCH054175,Sacramento,Sacramento,Enrl GPA,
AL ARQAM COLL PREPARATORY SCH,AL ARQAM COLL PREPARATORY SCH054175,Sacramento,Sacramento,Adm GPA,4.018333333
AL ARQAM COLL PREPARATORY SCH,AL ARQAM COLL PREPARATORY SCH054175,Sacramento,Sacramento,App GPA,3.94125
ALAIN LEROY LOCKE COLLEGE PREP,ALAIN LEROY LOCKE COLLEGE PREP054367,Los Angeles,Los Angeles,Enrl GPA,3.876944444
ALAIN LEROY LOCKE COLLEGE PREP,ALAIN LEROY LOCKE COLLEGE PREP054367,Los Angeles,Los Angeles,Adm GPA,3.85440678
ALAIN LEROY LOCKE COLLEGE PREP,ALAIN LEROY LOCKE COLLEGE PREP054367,Los Angeles,Los Angeles,App GPA,3.562
ALAMEDA COMMUNITY LEARNING CTR,ALAMEDA COMMUNITY LEARNING CTR050011,Alameda,Alameda,Enrl GPA,4.04875
ALAMEDA COMMUNITY LEARNING CTR,ALAMEDA COMMUNITY LEARNING CTR050011,Alameda,Alameda,Adm GPA,3.974
ALAMEDA COMMUNITY LEARNING CTR,ALAMEDA COMMUNITY LEARNING CTR050011,Alameda,Alameda,App GPA,3.96
ALAMEDA HIGH SCHOOL,ALAMEDA HIGH SCHOOL050005,Alameda,Alameda,Enrl GPA,3.906
ALAMEDA HIGH SCHOOL,ALAMEDA HIGH SCHOOL050005,Alameda,Alameda,Adm GPA,3.859932432
ALAMEDA HIGH SCHOOL,ALAMEDA HIGH SCHOOL050005,Alameda,Alameda,App GPA,3.651348837
ALAMEDA SCIENCE & TECHLGY INST,ALAMEDA SCIENCE & TECHLGY INST050029,Alameda,Alameda,Enrl GPA,3.960625
ALAMEDA SCIENCE & TECHLGY INST,ALAMEDA SCIENCE & TECHLGY INST050029,Alameda,Alameda,Adm GPA,3.912173913
ALAMEDA SCIENCE & TECHLGY INST,ALAMEDA SCIENCE & TECHLGY INST050029,Alameda,Alameda,App GPA,3.760344828
ALBANY HIGH SCHOOL,ALBANY HIGH SCHOOL050035,Albany,Alameda,Enrl GPA,3.893921569
ALBANY HIGH SCHOOL,ALBANY HIGH SCHOOL050035,Albany,Alameda,Adm GPA,3.80893617
ALBANY HIGH SCHOOL,ALBANY HIGH SCHOOL050035,Albany,Alameda,App GPA,3.623333333
ALBERT EINSTEIN LETTER ART SCI,ALBERT EINSTEIN LETTER ART SCI054493,Valencia,Los Angeles,Enrl GPA,
ALBERT EINSTEIN LETTER ART SCI,ALBERT EINSTEIN LETTER ART SCI054493,Valencia,Los Angeles,Adm GPA,3.74125
ALBERT EINSTEIN LETTER ART SCI,ALBERT EINSTEIN LETTER ART SCI054493,Valencia,Los Angeles,App GPA,3.473076923
ALEXANDER HAMILTON HIGH SCHOOL,ALEXANDER HAMILTON HIGH SCHOOL051525,Los Angeles,Los Angeles,Enrl GPA,3.879428571
ALEXANDER HAMILTON HIGH SCHOOL,ALEXANDER HAMILTON HIGH SCHOOL051525,Los Angeles,Los Angeles,Adm GPA,3.792903226
ALEXANDER HAMILTON HIGH SCHOOL,ALEXANDER HAMILTON HIGH SCHOOL051525,Los Angeles,Los Angeles,App GPA,3.497083333
ALHAMBRA HIGH SCHOOL,ALHAMBRA HIGH SCHOOL050050,Alhambra,Los Angeles,Enrl GPA,3.772083333
ALHAMBRA HIGH SCHOOL,ALHAMBRA HIGH SCHOOL050050,Alhambra,Los Angeles,Adm GPA,3.716643357
ALHAMBRA HIGH SCHOOL,ALHAMBRA HIGH SCHOOL050050,Alhambra,Los Angeles,App GPA,3.520577778
ALHAMBRA HIGH SCHOOL,ALHAMBRA HIGH SCHOOL051915,Martinez,Contra Costa,Enrl GPA,3.9575
ALHAMBRA HIGH SCHOOL,ALHAMBRA HIGH SCHOOL051915,Martinez,Contra Costa,Adm GPA,3.865277778
ALHAMBRA HIGH SCHOOL,ALHAMBRA HIGH SCHOOL051915,Martinez,Contra Costa,App GPA,3.774230769
ALISAL HIGH SCHOOL,ALISAL HIGH SCHOOL052742,Salinas,Monterey,Enrl GPA,3.743125
ALISAL HIGH SCHOOL,ALISAL HIGH SCHOOL052742,Salinas,Monterey,Adm GPA,3.656896552
ALISAL HIGH SCHOOL,ALISAL HIGH SCHOOL052742,Salinas,Monterey,App GPA,3.362
ALISO NIGUEL HIGH SCHOOL,ALISO NIGUEL HIGH SCHOOL051324,Aliso Viejo,Orange,Enrl GPA,3.888333333
ALISO NIGUEL HIGH SCHOOL,ALISO NIGUEL HIGH SCHOOL051324,Aliso Viejo,Orange,Adm GPA,3.883819444
ALISO NIGUEL HIGH SCHOOL,ALISO NIGUEL HIGH SCHOOL051324,Aliso Viejo,Orange,App GPA,3.770095694
ALLIANCE CINDY/BILL SIMON TECH,ALLIANCE CINDY/BILL SIMON TECH051804,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE CINDY/BILL SIMON TECH,ALLIANCE CINDY/BILL SIMON TECH051804,Los Angeles,Los Angeles,Adm GPA,
ALLIANCE CINDY/BILL SIMON TECH,ALLIANCE CINDY/BILL SIMON TECH051804,Los Angeles,Los Angeles,App GPA,3.5025
ALLIANCE COLLINS FAMILY COLRDY,ALLIANCE COLLINS FAMILY COLRDY054118,Huntington Park,Los Angeles,Enrl GPA,3.748571429
ALLIANCE COLLINS FAMILY COLRDY,ALLIANCE COLLINS FAMILY COLRDY054118,Huntington Park,Los Angeles,Adm GPA,3.747058824
ALLIANCE COLLINS FAMILY COLRDY,ALLIANCE COLLINS FAMILY COLRDY054118,Huntington Park,Los Angeles,App GPA,3.475128205
ALLIANCE DR OLGA MOHAN HIGH SC,ALLIANCE DR OLGA MOHAN HIGH SC051779,Los Angeles,Los Angeles,Enrl GPA,3.836428571
ALLIANCE DR OLGA MOHAN HIGH SC,ALLIANCE DR OLGA MOHAN HIGH SC051779,Los Angeles,Los Angeles,Adm GPA,3.677575758
ALLIANCE DR OLGA MOHAN HIGH SC,ALLIANCE DR OLGA MOHAN HIGH SC051779,Los Angeles,Los Angeles,App GPA,3.435576923
ALLIANCE ENVIRONMENT/SCI TECH,ALLIANCE ENVIRONMENT/SCI TECH054360,Los Angeles,Los Angeles,Enrl GPA,3.638823529
ALLIANCE ENVIRONMENT/SCI TECH,ALLIANCE ENVIRONMENT/SCI TECH054360,Los Angeles,Los Angeles,Adm GPA,3.669032258
ALLIANCE ENVIRONMENT/SCI TECH,ALLIANCE ENVIRONMENT/SCI TECH054360,Los Angeles,Los Angeles,App GPA,3.494883721
ALLIANCE GERTZ-RESSLER HIGH SC,ALLIANCE GERTZ-RESSLER HIGH SC053983,Los Angeles,Los Angeles,Enrl GPA,3.621111111
ALLIANCE GERTZ-RESSLER HIGH SC,ALLIANCE GERTZ-RESSLER HIGH SC053983,Los Angeles,Los Angeles,Adm GPA,3.63
ALLIANCE GERTZ-RESSLER HIGH SC,ALLIANCE GERTZ-RESSLER HIGH SC053983,Los Angeles,Los Angeles,App GPA,3.332571429
ALLIANCE HEALTH SERVICES ACDMY,ALLIANCE HEALTH SERVICES ACDMY054361,Los Angeles,Los Angeles,Enrl GPA,3.655
