CA High School,Calculation1,City,County,Measure Names,Measure Values
ALLIANCE DR OLGA MOHAN HIGH SC,ALLIANCE DR OLGA MOHAN HIGH SC051779,Los Angeles,Los Angeles,Applicants,52
ALLIANCE ENVIRONMENT/SCI TECH,ALLIANCE ENVIRONMENT/SCI TECH054360,Los Angeles,Los Angeles,Enrollees,17
ALLIANCE ENVIRONMENT/SCI TECH,ALLIANCE ENVIRONMENT/SCI TECH054360,Los Angeles,Los Angeles,Admits,31
ALLIANCE ENVIRONMENT/SCI TECH,ALLIANCE ENVIRONMENT/SCI TECH054360,Los Angeles,Los Angeles,Applicants,43
ALLIANCE GERTZ-RESSLER HIGH SC,ALLIANCE GERTZ-RESSLER HIGH SC053983,Los Angeles,Los Angeles,Enrollees,9
ALLIANCE GERTZ-RESSLER HIGH SC,ALLIANCE GERTZ-RESSLER HIGH SC053983,Los Angeles,Los Angeles,Admits,21
ALLIANCE GERTZ-RESSLER HIGH SC,ALLIANCE GERTZ-RESSLER HIGH SC053983,Los Angeles,Los Angeles,Applicants,35
ALLIANCE HEALTH SERVICES ACDMY,ALLIANCE HEALTH SERVICES ACDMY054361,Los Angeles,Los Angeles,Enrollees,6
ALLIANCE HEALTH SERVICES ACDMY,ALLIANCE HEALTH SERVICES ACDMY054361,Los Angeles,Los Angeles,Admits,9
ALLIANCE HEALTH SERVICES ACDMY,ALLIANCE HEALTH SERVICES ACDMY054361,Los Angeles,Los Angeles,Applicants,14
ALLIANCE JUDY BURTON TECH ACAD,ALLIANCE JUDY BURTON TECH ACAD054088,Los Angeles,Los Angeles,Enrollees,14
ALLIANCE JUDY BURTON TECH ACAD,ALLIANCE JUDY BURTON TECH ACAD054088,Los Angeles,Los Angeles,Admits,16
ALLIANCE JUDY BURTON TECH ACAD,ALLIANCE JUDY BURTON TECH ACAD054088,Los Angeles,Los Angeles,Applicants,22
ALLIANCE MEDIA ARTS/DESIGN HS,ALLIANCE MEDIA ARTS/DESIGN HS054346,Los Angeles,Los Angeles,Enrollees,
ALLIANCE MEDIA ARTS/DESIGN HS,ALLIANCE MEDIA ARTS/DESIGN HS054346,Los Angeles,Los Angeles,Admits,7
ALLIANCE MEDIA ARTS/DESIGN HS,ALLIANCE MEDIA ARTS/DESIGN HS054346,Los Angeles,Los Angeles,Applicants,22
ALLIANCE OUCHI-O'DONOVAN 6-12,ALLIANCE OUCHI-O'DONOVAN 6-12051598,Los Angeles,Los Angeles,Enrollees,19
ALLIANCE OUCHI-O'DONOVAN 6-12,ALLIANCE OUCHI-O'DONOVAN 6-12051598,Los Angeles,Los Angeles,Admits,25
ALLIANCE OUCHI-O'DONOVAN 6-12,ALLIANCE OUCHI-O'DONOVAN 6-12051598,Los Angeles,Los Angeles,Applicants,42
ALLIANCE PATTI & PETER ACADEMY,ALLIANCE PATTI & PETER ACADEMY054218,Los Angeles,Los Angeles,Enrollees,20
ALLIANCE PATTI & PETER ACADEMY,ALLIANCE PATTI & PETER ACADEMY054218,Los Angeles,Los Angeles,Admits,26
ALLIANCE PATTI & PETER ACADEMY,ALLIANCE PATTI & PETER ACADEMY054218,Los Angeles,Los Angeles,Applicants,73
ALLIANCE RENEE & MEYER LUSKIN,ALLIANCE RENEE & MEYER LUSKIN051663,Los Angeles,Los Angeles,Enrollees,4
ALLIANCE RENEE & MEYER LUSKIN,ALLIANCE RENEE & MEYER LUSKIN051663,Los Angeles,Los Angeles,Admits,5
ALLIANCE RENEE & MEYER LUSKIN,ALLIANCE RENEE & MEYER LUSKIN051663,Los Angeles,Los Angeles,Applicants,19
ALLIANCE STERN MATH/SCI SCHOOL,ALLIANCE STERN MATH/SCI SCHOOL054163,Los Angeles,Los Angeles,Enrollees,14
ALLIANCE STERN MATH/SCI SCHOOL,ALLIANCE STERN MATH/SCI SCHOOL054163,Los Angeles,Los Angeles,Admits,33
ALLIANCE STERN MATH/SCI SCHOOL,ALLIANCE STERN MATH/SCI SCHOOL054163,Los Angeles,Los Angeles,Applicants,42
ALLIANCE TECH MATH SCI HIGH SC,ALLIANCE TECH MATH SCI HIGH SC054527,Los Angeles,Los Angeles,Enrollees,4
ALLIANCE TECH MATH SCI HIGH SC,ALLIANCE TECH MATH SCI HIGH SC054527,Los Angeles,Los Angeles,Admits,5
ALLIANCE TECH MATH SCI HIGH SC,ALLIANCE TECH MATH SCI HIGH SC054527,Los Angeles,Los Angeles,Applicants,13
ALMA HEIGHTS CHRISTIAN ACADEMY,ALMA HEIGHTS CHRISTIAN ACADEMY052311,Pacifica,San Mateo,Enrollees,9
ALMA HEIGHTS CHRISTIAN ACADEMY,ALMA HEIGHTS CHRISTIAN ACADEMY052311,Pacifica,San Mateo,Admits,11
ALMA HEIGHTS CHRISTIAN ACADEMY,ALMA HEIGHTS CHRISTIAN ACADEMY052311,Pacifica,San Mateo,Applicants,19
ALSION MONTESSORI MIDDLE/HIGH,ALSION MONTESSORI MIDDLE/HIGH053989,Fremont,Alameda,Enrollees,7
